Name,Context,Entities
HTML Developer.docx,"HTML Developer

Slidesigma India LLC is a web design and development company based in South Delhi. Due to the active COVID-19 crisis, we are working remotely. We are looking for an HTML developer with up to 3 years of experience. You are expected to work full-time and will be collaborating with our team and supervisors virtually.

Years of Experience:

3 years experience

Language:

Must speak English well

Duties and Requirements

- Writes flawless code

- Proficient with HTML, HTML5, CSS and CSS3

- Converting PSD to HTML

- Other basic duties and research as required

Working days and times:

Monday - Saturday, 10:00 a.m. - 6:00 p.m.

Contract length: 12 months

Job Types: Full-time, Contract

Salary: Up to 17,000.00 per month

Experience:

CSS/CSS3: 3 years (Required)

work: 3 years (Required)

total work: 3 years (Required)

Education:

Bachelor's (Required)

Language:

English (Preferred)

Programming Languages needed:

CSS (Required)","HTML,HTML5,CSS,CSS3,CSSCSS3"
IT Project Manager.docx,"IT Project Manager

Roles and Responsibilities

Accomplishes information technology staff results by communicating job expectations; planning, monitoring, and appraising job results; coaching, counseling, and disciplining employees; initiating, coordinating, and enforcing systems, policies, and procedures.

Maintains staff by recruiting, selecting, orienting, and training employees; maintaining a safe and secure work environment; developing personal growth opportunities.

Maintains organization's effectiveness and efficiency by defining, delivering, and supporting strategic plans for implementing information technologies.

Directs technological research by studying organization goals, strategies, practices, and user projects.

Completes projects by coordinating resources and timetables with user departments and data center.

Verifies application results by conducting system audits of technologies implemented.

Preserves assets by implementing disaster recovery and back-up procedures and information security and control structures.

Recommends information technology strategies, policies, and procedures by evaluating organization outcomes; identifying problems; evaluating trends; anticipating requirements.

Accomplishes financial objectives by forecasting requirements; preparing an annual budget; scheduling expenditures; analyzing variances; initiating corrective action.

Maintains quality service by establishing and enforcing organization standards.

Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.

Contributes to team effort by accomplishing related results as needed.

Desired Candidate Profile

Qualification:

B.e/B.tech/MCA/Msc/M.e-IT/Computer science

Experience: Minimum 1 year as project manager",NAN
IT-WDS-Data-Services-Java-Developer-JD.pdf,"Nomura Overview:
Nomura is a leading financial services group and the pre-eminent Asia-based investment bank
with worldwide reach. Nomura provides a broad range of innovative solutions tailored to the
specific requirements of individual, institutional, corporate and government clients through an
international network in 30 countries. Based in Tokyo and with regional headquarters in Hong Kong,
London, and New York, Nomura employs about 26,000 staff worldwide. Nomuras unique
understanding of Asia enables the company to make a difference for clients through three business
divisions: domestic retail, global wholesale and asset management.
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powais world
class capabilities in trading support, research, information technology, financial control, operations,
risk management and legal support have played a key role in facilitating Nomuras global
operations and are an integral part of Nomuras global expansion plans. The Powai operation is a
critical part of the platform to support the growth of Nomuras global business.
Nomura is an equal opportunities employer. We are committed to providing equal opportunities
throughout employment including in the recruitment, training and development of employees
(including promotion, transfers, assignments and beliefs). We prohibit discrimination in the
workplace whether on grounds of gender, marital or domestic partnership status, pregnancy,
careers responsibilities, sexual orientation, gender identity, race, color, national or ethnic origins,
religious belief, disability or age. Our objective is to attract job applications from the best possible
candidates and to retain the best people.
Division Overview:
Wholesale Technology provides technology solutions used by all functions within Nomura
Wholesale. It supports a wide range of Business functions:
 Global Markets Technology
 Data Services Technology
 Operations Technology
 Risk & Capital Technology
 IB & Client Services Technology
The Wholesale Data Services Technology team in India is an integral part of the global team
spread across all regions. It is a globally distributed team that is responsible to develop and
maintain systems that manage acquisition and distribution of Instrument Data and Market Data for
the entire organization including front office, middle office, back office, risk, finance and various AI
based analytics systems.
Roles & Responsibilities:
This is an Individual Contributor position. The selected person would be a part of Data Services
Technology focusing on global Instrument Data applications . The roles and responsibilities are as
follows:
 Develop and maintain state of the art large and complex Instrument data processing
applications
 Understand the existing business functions and participate in defining new solutions that meet
their business objectives
 Understand the overall ecosystem and develop appropriate integration solutions
 Deliver high quality code within the committed deadlines
 Adhere to the best coding practices that reduce technical debt
 Expected to work with development and support team members across different regions










Partner with analysts across the globe to understand the requirements and to define solutions
Support resolution of production and user issues, application tes ting and maintenance releases
Partner with external stakeholders for testing and implementation of the deliverables
Provide regular updates regarding status or progress made to managers and stakeholders.
Gain understanding of various applications and systems being developed by the peer groups
Strong problem solving and analytical skills
Good written and verbal communication skills
Willing to learn new technologies / tools as required, in order to effectively deliver output

Key Skills:
Mandatory Skills:
 5-10 years of work experience with a solid understanding of Java and Spring
 Good understanding of OOPS concepts, and design patterns
 Strong understanding of working with Solace or Tibco EMS or RV or IBM MQ
 Understanding of memory management, multi-threading - concurrency and synchronization.
 Strong database knowledge of any one RDBMS (Sybase, Oracle, etc.)
 Candidate should be a quick learner. Should have demonstrated in the past quick learning
capabilities.
 Strong listening, problem solving, analytical skills and excellent communication skills (both
spoken and written English)
 Must be a team player with prior experience in working in a global development team
Desirable Skills:
 Knowledge of instrument data domain
 Working knowledge of Unix shell scripting, PERL and Python
 Familiarity with Bloomberg and Reuters instrument data feeds
 Experience in any Continuous Integration and Build environment
 Industry exposure of Investment banking

","JAVA,SPRING,PYTHON"
Lead Technical Program Manager.docx,"Lead Technical Program Manager, Site Reliability Engineering

Minimum qualifications:



Bachelor's degree in Computer Science, a related technical field or equivalent practical experience.

Experience managing end-to-end lifecycle of technical projects.

Experience with Unix/Linux systems with scripting experience in Shell, Perl or Python.

Experience in one or more of the following: C, C++, Java, Python.

Preferred qualifications:



Program management or technical management experience leading large-scale, cross-functional, and dynamic technical projects.

Software engineering management or project management expertise.

Ability to define strategic goals and organize a team and their services around delivering on those goals.

Leadership skills and a passion for growing and building an effective TPM function within an SRE organization.

Excellent communication skills, with ability to articulate your thoughts clearly and communicate across a wide variety of functions (SRE, Engineering) and levels.

About the job

Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.



In this role you will manage a group of Technical Program Managers (TPMs) working across a multitude of product groups who manage complex programs. The TPM role in SRE is at the core of preparing for the continued exponential growth of Google and other programs in Technical Infrastructure. TPMs play a pivotal role in ensuring that Google services/infrastructure are carefully planned and deployed in a time, place, and configuration which is ideal for serving Google's users. Your role sits at a nexus of capacity planning, technical project execution, product planning, site reliability and software engineering.



Your leadership abilities will be drawn upon to assist the TPM function in delivering large, highly complex and cross-functional programs. You will be equally at home explaining analyses and project recommendations to executives as you are discussing the technical merits of next-generation architectures with engineers, or building tools to automate and scale their impact.



Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.



Responsibilities

Manage a team of TPMs working across all core networking groups and assist where necessary to ensure successful delivery of multiple programs concurrently. 

Assist Director on operational management of Product Area.

Collaborate with SRE leadership in key program decision making - including scope definition, requirements gathering, staffing, planning and execution of programs. 

Work with cross-functional partners and manage the intake of work into teams in a process and scalable driven fashion. 

Be responsible for the people and career development of TPMs and working to identify opportunities for exciting career challenges. Ensure there is flexibility and mobility opportunities also.","UNIX,LINUX,SHELL,PERL,PYTHON,C,C,JAVA"
Marketing-Manager-Job.pdf,"Marketing Manager Job
Description Template

Marketing Manager Job Description
Are you a creative Marketing Manager that is passionate about marketing campaigns and is always looking
for ways to improve brand awareness?

Marketing Manager Job Description Summary
Our company is seeking a Marketing Manager to improve the volume, quality, and predictability of marketing
qualified leads and marketing-sourced pipeline to deliver continued increases in marketing sourced revenue.
You will be a willing team player, demonstrate excellent communication skills, and always be thinking of the
next idea. You will understand that you are the custodian of the brand and will have a firm grasp on modern
technology and various marketing platforms

About Your Company
[Insert 3-4 sentences summarizing what your company does. Share your mission, vision, and a little bit about
your product or service.]

Marketing Manager Responsibilities
As a Marketing Manager at our company, you will:

Plan and implement multiple marketing initiatives across various platforms.


Content copywriting, graphic design, and video editing.


SEO and SEM management and optimization.


Measure, analyze and report on marketing campaigns against goals (ROI and KPIs).


Developing and maintaining automation infrastructure.


Collaboration with multiple stakeholders, both internal and external


Management of social media, mail marketing, and influencer marketing activities.


Manage projects within the marketing department adhering to the marketing strategy


Prioritization and spend of marketing budget


Report to the Chief Marketing Officer or equivalent


[Add or delete details about the role where necessary]

vervoe.com

Marketing Manager Benefits
[List all of your companys core benefits here]

[This list might include health insurance, 401k matching, wellness or commuter reimbursements, and
parental leave policies]

[It also might mention nice perks like the offices location, your dog-friendly environment, a flexible
vacation policy, or meals provided]

[Consider mentioning industry-specific benefits]

Marketing Manager Education and Qualifications
A bachelors degree in marketing, business, advertising or another related field is not required to hire a
good Marketing Manager. Vervoe believes in hiring marketing managers based off a skills assessment,
rather than the education background on a resume.

A minimum of 5 years in related marketing roles or marketing department does not guarantee job
performance. Vervoe believes in hiring based off merit, not background.

Pro Tip
In building your candidate profile, remember youve already identified what skills are needed to
succeed in the role. Heres where to list your must-have skills and maybe a couple of nice-tohave skills. For example, a Marketing Manager must have strong creative thinking skills, and it
would be nice to have significant experience in creative graphic design.

vervoe.com

",NAN
Primary English Teacher.docx,"Primary English Teacher

Position Title: Facilitator for fREADom Live Classes
Department: fREADom Mobile App
Working with: Consumer App Team
Location: comfort of your own home!

About Stones2Milestones
Stones2Milestones is on a mission to 'Create a Nation of Readers', gifting children the will and skill to read in English. We have created Indias most premier reading program for children of ages 3-9 and are currently impacting over 200,000 children in 110 schools across 50+ cities.
A significant part of this reading program is the fREADom mobile app. The award-winning app, which parents and children use at home to bond over reading, has over 1500 stories, activities and news pieces for children to read and enjoy.
The team believes that by helping children to 'Learn to Read' in elementary years, they enable them to 'Read to Learn' during formal education and eventually 'Read to Lead' in their chosen paths, helping them find their place in the world. Today, we are leveraging our technology platforms to grow our mission across three axes- age, geography and stakeholders.
Position, Purpose and Key Responsibilities:
We are looking to bring into our fold an incredible teacher/facilitator to conduct online classes for children of ages 6-10. These classes will be on topics related to phonics, vocabulary, comprehension, conversational English, storytelling and writing. They will be conducted via a video calling technology interface. Each class will be 45-60 minutes long. All the material you need to conduct the class will be provided.
This is a monthly retainership role. You will not be a full time employee of the company unless offered otherwise. The classes will happen between 3 pm - 8 pm.
Key Responsibilities:

Conducting excellent and engaging live classes for children:

Conducting a minimum of 12 classes a week and maximum of 20 classes in a week in a way that children are able to meet their learning outcomes.

Improving constantly:

Working relentlessly to improve the childrens class experience and own knowledge of facilitation, pedagogy and technology. Accept feedback and give the Stones2Milestones team constructive feedback on the classes, topic flow and resources as well.

Adhering to administrative needs for all classes:

Ensuring marking of attendance, correction of childrens homework and keeping all documentation up to date.
Necessary prerequisites - skills

Excellent communicative and written English

Teaching experience (online or in a classroom)

Ease of using or ability to learn and grasp technology like email, Google Slides and Google Sheets

Necessary prerequisites - technology

Strong, fully functioning and hi-speed Internet connection

A good laptop or tablet, functioning webcam, good speaker

A good smartphone

Remuneration:
(A) Skills, abilities and attitudes:

Support of a great network of facilitators

Opportunities for pedagogical development

Ability to spend time with children who love and adore you, look forward to pleasing you

(b) Monetary:

2 classes/day - 11k/month

3 classes/day - 17k/month

Job Types: Full-time, Contract

Experience:

work: 1 year (Preferred)

total work: 1 year (Preferred)

Education:

Bachelor's (Preferred)","GOOGLE SLIDES,GOOGLE SHEETS"
Primary English Teacher.pdf,"Primary English Teacher
Position Title: Facilitator for fREADom Live Classes
Department: fREADom Mobile App
Working with: Consumer App Team
Location: comfort of your own home!
About Stones2Milestones
Stones2Milestones is on a mission to 'Create a Nation of Readers', gifting children the will and
skill to read in English. We have created Indias most premier reading program for children of
ages 3-9 and are currently impacting over 200,000 children in 110 schools across 50+ cities.
A significant part of this reading program is the fREADom mobile app. The award-winning app,
which parents and children use at home to bond over reading, has over 1500 stories, activities
and news pieces for children to read and enjoy.
The team believes that by helping children to 'Learn to Read' in elementary years, they enable
them to 'Read to Learn' during formal education and eventually 'Read to Lead' in their chosen
paths, helping them find their place in the world. Today, we are leveraging our technology
platforms to grow our mission across three axes- age, geography and stakeholders.
Position, Purpose and Key Responsibilities:
We are looking to bring into our fold an incredible teacher/facilitator to conduct online classes for
children of ages 6-10. These classes will be on topics related to phonics, vocabulary,
comprehension, conversational English, storytelling and writing. They will be conducted via a
video calling technology interface. Each class will be 45-60 minutes long. All the material you
need to conduct the class will be provided.
This is a monthly retainership role. You will not be a full time employee of the company unless
offered otherwise. The classes will happen between 3 pm - 8 pm.
Key Responsibilities:


Conducting excellent and engaging live classes for children:

Conducting a minimum of 12 classes a week and maximum of 20 classes in a week in a way that
children are able to meet their learning outcomes.


Improving constantly:

Working relentlessly to improve the childrens class experience and own knowledge of
facilitation, pedagogy and technology. Accept feedback and give the Stones2Milestones team
constructive feedback on the classes, topic flow and resources as well.


Adhering to administrative needs for all classes:

Ensuring marking of attendance, correction of childrens homework and keeping all
documentation up to date.
Necessary prerequisites - skills


Excellent communicative and written English



Teaching experience (online or in a classroom)



Ease of using or ability to learn and grasp technology like email, Google Slides and
Google Sheets

Necessary prerequisites - technology



Strong, fully functioning and hi-speed Internet connection



A good laptop or tablet, functioning webcam, good speaker



A good smartphone

Remuneration:
(A) Skills, abilities and attitudes:


Support of a great network of facilitators



Opportunities for pedagogical development



Ability to spend time with children who love and adore you, look forward to pleasing you

(b) Monetary:
2 classes/day - 11k/month
3 classes/day - 17k/month
Job Types: Full-time, Contract
Experience:



work: 1 year (Preferred)
total work: 1 year (Preferred)

Education:


Bachelor's (Preferred)

","GOOGLE SLIDES,GOOGLE SHEETS"
RCT-BA-JD.pdf,"Nomura Overview:
Nomura is an Asia-headquartered financial services group with an integrated global network spanning
over 30 countries. By connecting markets East & West, Nomura services the needs of individuals,
institutions, corporates and governments through its four business divisions: Retail, Asset Management,
Wholesale (Global Markets and Investment Banking), and Merchant Banking. Founded in 1925, the
firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and
considered thought leadership. For further information about Nomura, visit www.nomura.com.
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powais world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and
are an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the
platform to support the growth of Nomuras global business.
Guidelines:




Relevant experience
Minimum career break of 2yrs
No of Positions :

Role & Responsibilities:
Lead Business Analyst with a necessary experience in
 Market Risk Model Implementation, such as Var IRC, ESF.
 SQL, hands on with writing queries and data analysis.
 Basel III accords and related Market Risk Measures to arrive at Basel III Compliant Capital
Requirements.
 Communication Skill, Verbal and Written.
Good to Have
 Trade Life Cycle
 Trade Reference Data such as Issuer, Obligor and various Exchange Traded and OTC
Instruments.
 FRTB SBA and IMA knowledge.
Role: IT BA Role for
 Support Existing Market Risk Models at Nomura
 Build FRTB compliant Models for Nomura
Responsibilities
 Understand Business requirements and create technical specifications
 Coordinate with Development team and participate in testing for correct and timely deliveries

","SQL,BASEL III"
Revenue Reporting Data Analyst.docx,"Revenue Reporting Data Analyst, Business Finance Accounting



Minimum qualifications:



Bachelor's degree in Accounting, Finance, Business, Engineering or Data Science or equivalent practical experience.

4 years of relevant work experience.

Database experience including SQL coding across standard commercial databases or equivalent in other programming languages.

Experience with standard finance systems (e.g. Oracle, Hyperion, OBIEE, SAP) and core finance processes.

Preferred qualifications:



Experience driving operational process improvement.

Experience developing and analyzing large, complex data sets and converting them into information/insights that drive business decisions at all levels of the organization.

Ability to multi-task and apply initiative and creativity on challenging projects.

Distinctive problem-solving and analytical skills combined with strong business acumen.

Exemplary customer service and tactful communication skills, both spoken and written.

Exceptional analytical and technical problem solving skills.

About the job

Analysts on the Business Finance and Accounting Systems team collaborate with multiple teams to ensure that we have robust, scalable data and reporting processes to support our business partners to deliver on internal and external data requests.



As a Revenue Reporting Data Analyst, you will be focused on executing on internal and external data and reporting requests, including implementing opportunities to optimize our reporting data infrastructure. You will work well with other teams, provide outstanding customer service, deliver on deadlines, and produce flawless work. This role will partner with our Accounting Operations, Tax, External Reporting and Legal teams to provide timely data to manage financial risk, educate users on Googles revenue data sets and drive efficiency improvements, ensuring that partners can adhere to regulatory requirements. You will also work closely with these teams to develop scalable data solutions for accounting and reporting processes.



Responsibilities

Work with cross-functional departments on reporting data and system initiatives.

Utilize SQL coding to provide financial data for internal and external financial reporting.

Critically evaluate data gathered from multiple sources, identify gaps, reconcile conflicts and decompose high-level information into details to drive decision-making.

Partner with internal teams to define and implement data solutions that improve accounting and reporting processes and architect innovative data solutions to automate and scale revenue reporting.

Maintain highest levels of development practices including technical design, solution development, systems configuration, test documentation/execution, issue identification and resolution, and writing clean, modular and self-sustaining code.",SQL
Senior Product Manager.docx,"Senior Product Manager, Hardware Enablement, Chrome OS Platform

Minimum qualifications:

Bachelor's degree in Computer Science, related technical field or equivalent practical experience.

5 years of product management experience leading consumer electronics/hardware products.

Experience working with SoC manufacturers and/or consumer electronics OEMs.

Experience managing a team of product managers.

Preferred qualifications:

8 years of product management experience leading consumer electronics/hardware from inception to large scale user adoption.

2 years of experience working with computer or mobile SoC manufacturers.

Experience managing day-to-day technical and design direction.

Knowledge of multiple functional areas such as Product Management, Engineering, UX/UI, Sales, Customer Support, Finance or Marketing.

About the job

In this role, you will lead a global team of product managers focused on strategy and execution for reference designs which enable an ecosystem of Chrome OS devices. As the team leader of platform hardware enablement, you will partner closely with hardware and software engineering teams and business leaders internally at Google as well as externally with key partners: SoC manufacturers, ODMs, and OEMs.

In addition to device bring-up, you will own a holistic strategy and roadmap for Chrome OS, focusing on our ecosystem scaling initiatives as well as initiatives to reduce device bring-up time and accelerate time-to-market. These important initiatives will enable more users to be able to enjoy the speed, security, smarts, and simplicity of the Chrome OS operating system across education, consumer, and enterprise markets.

Google aims to build products that organize the world's information and make it universally accessible to our users. As a Product Manager at Google, you could be working on new technologies, platforms, consumer facing products, and/or enterprise systems. The end goal will be to match you with the team that best aligns with your interests, experience, and where you will have the most impact.

Responsibilities

Lead a global team of product managers in designing and executing on a roadmap of hardware reference designs for Chrome OS devices, combining deep technical expertise, business and market understanding, and strategic thinking.

Partner with engineering teams and executives at SoC partners, ODMs, and OEMs to launch Chrome OS devices, aligned to market needs and timing.

Work collaboratively with engineering teams and peer platform product management teams globally.

Own hardware ecosystem scaling initiatives to advance and grow the Chrome OS ecosystem.

Define and own a holistic strategy and roadmap for Chrome OS and partner with SoC providers to plan and incorporate long-term architectural technologies.",CHROME OS
Senior Software Developer.docx,"Senior Software Developer

Senior Software Engineer will develop information systems by studying operations; designing, developing and installing software solutions; support and develop software team. The Senior Software Engineer will lead a team of developers responsible for building new and support existing websites.

Ability to prioritize well, communicate clearly, have a consistent track record of delivery and excellent software engineering skills. Creative engineering balanced with high quality and a customer focus. Must be able to work across multiple facets of the project and juggle multiple responsibilities at the same time. Strong analytic capability and the ability to create innovative solutions. We are looking for a highly motivated individual who is looking to grow their career in a fast-paced environment.

 Analytical problem solving

 Ability to manage projects to successful completion, multi-task, and work within tight deadlines

 Proactive at work

 At least 3+ years industry experience in PHP, Core PHP, Laravel and Angular

 Experience in enterprise application, application logic, library architecture

 Expertise in Data Structures and algorithms

 Familiar with various design and architectural patterns

 Knack for writing clean, readable code

 Should know how to lead the team.
Fairly Good Communication Skill, Expertise in Core PHP and experience in Code Igniter framework

Job Type: Full-time

Salary: 30,000.00 - 70,000.00 per month

Experience:

Wordpress: 3 years (Preferred)

PHP: 3 years (Preferred)

total work: 3 years (Preferred)

Education:

Bachelor's (Preferred)

Work Remotely:

No","PHP,LARAVEL,ANGULAR,WORDPRESS"
test_jd_1.docx," Send me Jobs like this experience/strong knowledge in PHP web application development Develop and maintain new features on Web Application development & LAMP stack Handson experience in PHP, Perl, Python, MySQL, JQuery, Ajax is must. Strong in OOPS and must have worked in Salary:INR 3,00,000 - 6,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills LAMP PHP MySQL JQuery Ajax Python OOPS Web Application Development Perl Web Technologies Web Services struts asp.net xml soap webservices shampoo Desired Candidate Profile Working experience in any of the APIs like Facebook, Twitter or Google would be added advantage Create highly efficient and dynamic PHP code Familiar with JavaScript frameworks like Angular, React, Ember and/or Backbone Troubleshoot, test and mainta Company Profile: Kinesis Management Consultant Pvt. Ltd Large It Company , Design, develop, maintain and optimize secure and scalable web applications in all phases of the development life cycle Analyze requirements and develop application designs, Download PPT Photo 1  View Contact Details","PHP,PYTHON,MYSQL,JQUERY,AJAX,LAMP,MYSQL JQUERY AJAX,JAVASCRIPT,ANGULAR,REACT,EMBER,BACKBONE"
Web Developer.docx,"Web Developer

We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of client websites. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.

Most of the web development work will be via CMS using Drupal & Wordpress
Responsibilities

Write well designed, testable, efficient code by using best software development practices

Create website layout/user interface by using standard HTML/CSS practices

Integrate data from various back-end services and databases

Gather and refine specifications and requirements based on technical needs

Create and maintain software documentation

Be responsible for maintaining, expanding, and scaling our site

Stay plugged into emerging technologies/industry trends and apply them into operations and activities

Cooperate with designers to match visual design intent

Requirements

Proven working experience in web programming

Top-notch programming skills and in-depth knowledge of modern HTML/CSS, Javascript and PHP

A solid understanding of how web applications work including security, session management, and best development practices

Adequate knowledge of relational database systems, Object Oriented Programming and web application development

Hands-on experience with website performance optimization

Knowledge of Search Engine Optimization process

Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.

BS in computer science or a related field

Application Deadline: 18/9/2020

Job Type: Full-time

Salary: 25,000.00 - 50,000.00 per month

Experience:

Web Development: 1 year (Required)

total work: 2 years (Required)

CSS: 1 year (Required)

Education:

Bachelor's (Preferred)

Programming Languages needed:

HTML (Required)

CSS (Required)

PHP (Required)

JavaScript (Required)","DRUPAL,WORDPRESS,HTMLCSS,JAVASCRIPT,PHP,HTML,JAVASCRIPT"
Web_dev_job.docx,"The position holder will be responsible for creation and implementation of a wide variety of Web-based products using PHP, JavaScript, MySQL and AJAX.



Key Responsibility Areas:



Create, design and modify websites to suit the requirements of a client.

PHP Developers need to have a thorough knowledge of developing cross platforms that are compatible with Web, mobile Web applications.

Sound knowledge & working experience on PHP & shall be hands on database and programming experience.

Additional skill-sets of OOPS concept, PHP, LAMP technologies, XML, HTML, CSS, Javascript, JQuery, Ajax.

Good understanding of Oracle PL/SQL

Relevant software architecture, software development, and software testing experience

Should have ability to work as a team with business owner, developers, designers & testers.

Qulification:



B. Tech with minimum 60%

10th and 12th with minimum 75%

Experience:



1 -3 years of PHP development experience.

Skill Sets/ Requirements:



Experience with PHP Programming on Open Source Tools.

Implementation of eCommerce Projects

Good command over AJAX & Database SQL programming.

Experience with PHP Programming on Open Source Tools

Knowledge of PHP, HTML5, CSS, Javascript, AJAX

Good Knowledge of object oriented programming

Knowledge in java script libraries (Jquery, Prototype)

Effective communication & comprehension skill

Understand Severity and Priority needs

Time Management

Quick decision making","PHP,JAVASCRIPT,MYSQL,AJAX,OOPS,HTML,JAVASCRIPT,JQUERY,AJAX,PLSQL,SQL,HTML5,JAVA,JQUERY"
WPS-JD.pdf,"Job Description: WPS
Nomura Overview:
Nomura is an Asia-headquartered financial services group with an integrated global network spanning
over 30 countries. By connecting markets East & West, Nomura services the needs of individuals,
institutions, corporates and governments through its four business divisions: Retail, Asset Management,
Wholesale (Global Markets and Investment Banking), and Merchant Banking. Founded in 1925, the
firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and
considered thought leadership. For further information about Nomura, visit www.nomura.com.
Nomura Services India, (Powai) supports Nomuras businesses around the world. Powais world class
capabilities in trading support, research, information technology, financial control, operations, risk
management and legal support have played a key role in facilitating Nomuras global operations and
are an integral part of Nomuras global expansion plans. The Powai operation is a critical part of the
platform to support the growth of Nomuras global business.
Guidelines:




Relevant experience
Minimum career break of 2yrs
No of Positions : 2

Role & Responsibilities:
Production and Application Support for Nomura DataServices Applications. DataService suite of
applications are responsible to provide static data to the entire firm viz, Instrument Data, Market Data,
Trade Data and Reference Data.
Production Support involves
 ensuring the Production environment is stable, continuously available,
 performing releases,
 setting up, monitoring and resolving alerts
 Batch Support
 User queries which involve investigating issues reported and provide reasonable cause/fix to
the issue
 User reports
 Incident and Problem Management
 DR responsibility
Mind set required:
Technical skills- Unix(including shell scripting), Sql, Java,Perl, Python.
Good to have  ITSM certification/knowledge, AWS certification/knowledge
Good written and oral communication skills
Calm and work under pressure mindset.

","SQL,JAVA,PERL,PYTHON"
